ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-6240479,Source1,2,2021-03-09 03:53:47,2021-03-09 05:14:57,40.860769,-74.39985,40.860329,-74.392425,0.389,Incident on I-80 EXPRESS LN EB near COUNTY HWY-637 Road closed. Take alternate route.,Troy Rd,Parsippany,Morris,NJ,07054,US/Eastern,KMMU,2021-03-09 03:53:00,30.0,30.0,75.0,30.09,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3199093,Source2,3,2017-11-21 05:13:43,2017-11-21 05:43:30,33.461475,-112.504219,,,0.0,Shoulder blocked due to accident on I-10 Eastbound at Exit 120 Verrado Way.,Pearl Harbor Memorial Highway,Buckeye,Maricopa,AZ,85326,US/Mountain,KBXK,2017-11-21 05:15:00,46.4,,46.0,30.06,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5989796,Source1,2,2021-06-08 16:08:34,2021-06-08 18:34:47,37.686379,-77.014263,37.684708,-77.011332,0.198,On VA-30 in the County of King William in the vicinity of Horse Landing Rd; Rt. 619N/S (King William County) motorists can expect delays due to a vehicle crash. All West lanes are closed. All East lanes are closed., King William Rd,King William,King William,VA,23086-2609,US/Eastern,KXSA,2021-06-08 16:15:00,87.0,87.0,66.0,29.89,10.0,SSW,7.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,Day,Day,Day,Day
A-7606261,Source1,4,2018-03-16 20:46:54,2018-03-17 02:46:54,42.713071,-84.54739000000002,42.716754,-84.546222,0.261,At Baker St - Accident., Norman St,Lansing,Ingham,MI,48910-9156,US/Eastern,KLAN,2018-03-16 20:53:00,30.9,,52.0,30.13,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-4063563,Source1,2,2022-10-12 15:16:55.000000000,2022-10-12 17:06:34.000000000,40.75012,-73.96888,40.750765,-73.968412,0.051,Incident on 1ST AVE near 1ST AVE Drive with caution., United Nations Plz,New York,New York,NY,10017-6818,US/Eastern,KNYC,2022-10-12 14:51:00,68.0,,47.0,30.06,10.0,,,0.0,Fair,True,False,True,False,False,False,False,False,True,False,False,True,Day,Day,Day,Day
A-1635146,Source2,2,2020-02-07 04:34:13,2020-02-07 05:49:41,35.014171999999995,-81.62307,,,0.0,Accident on Ballenger Rd at Chestnut Ridge Rd.,Chestnut Ridge Rd,Gaffney,Cherokee,SC,29340-5115,US/Eastern,KEHO,2020-02-07 03:15:00,58.0,58.0,91.0,28.34,10.0,SW,18.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5176022,Source1,4,2022-11-06 09:14:00,2022-11-06 13:12:50,38.194612,-87.469596,38.194619,-87.47,0.022,IN-68 is closed from IN-57 S to S 525 E due to accident.,IN-57,Haubstadt,Gibson,IN,47639,US/Central,KEVV,2022-11-06 08:54:00,56.0,56.0,80.0,29.65,10.0,S,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2093802,Source2,2,2019-05-09 04:26:06,2019-05-09 06:25:38,36.962955,-121.980904,,,0.0,Accident on Portola Dr at Corcoran Ave.,Portola Dr,Santa Cruz,Santa Cruz,CA,95062-4267,US/Pacific,KWVI,2019-05-09 04:53:00,53.0,53.0,96.0,29.69,4.0,CALM,0.0,0.0,Cloudy,True,False,True,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-5377986,Source1,2,2021-12-31 02:45:08.000000000,2021-12-31 04:01:37.000000000,38.78653407078368,-111.49911761230707,38.80247407078368,-111.52013761230708,1.579,Incident on I-70 WB near I-70 Drive with caution.,I-70,Salina,Sevier,UT,84654,US/Mountain,KU24,2021-12-31 02:55:00,34.0,24.0,93.0,24.86,10.0,S,14.0,,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1340368,Source2,2,2020-10-14 07:38:14,2020-10-14 08:08:27,30.373989,-86.22905,,,0.0,Lane blocked due to accident on CR-393 at US-98.,US Highway 98 W,Santa Rosa Beach,Walton,FL,32459-4052,US/Central,KDTS,2020-10-14 07:53:00,68.0,68.0,70.0,30.02,10.0,ENE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day
A-2910711,Source2,2,2018-04-26 14:26:03,2018-04-26 14:55:59,35.900402,-78.606903,,,0.0,Accident on Falls of Neuse Rd at Stonegate Dr.,Falls of Neuse Rd,Raleigh,Wake,NC,27615-2410,US/Eastern,KRDU,2018-04-26 14:51:00,73.9,,53.0,29.86,10.0,SW,9.2,,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1392233,Source2,2,2020-07-20 15:23:12,2020-07-20 16:37:54,36.414619,-78.589523,,,0.0,Lane blocked due to accident on US-15 Southbound near Gela Rd.,US Highway 15,Oxford,Granville,NC,27565-6742,US/Eastern,KHNZ,2020-07-20 15:15:00,95.0,95.0,36.0,29.41,10.0,W,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1804488,Source2,3,2019-11-07 10:40:46,2019-11-07 11:10:26,35.004101,-85.213211,,,0.0,Shoulder blocked due to accident on I-75 Southbound at I-24.,I-75 S,Chattanooga,Hamilton,TN,37411,US/Eastern,KCHA,2019-11-07 10:53:00,60.0,60.0,80.0,29.49,10.0,S,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5684139,Source1,2,2021-12-13 17:28:49,2021-12-13 19:34:57,35.827015,-78.625338,35.818268,-78.608251,1.132,Incident on I-440 EB near SIX FORKS RD Drive with caution.,I-440 E,Raleigh,Wake,NC,27609,US/Eastern,KRDU,2021-12-13 17:51:00,50.0,50.0,48.0,29.94,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-6246269,Source1,2,2021-10-25 22:24:00.000000000,2021-10-25 23:45:01.000000000,40.309619,-78.849299,40.313564,-78.855871,0.441,Incident on TRUMAN BLVD near CASPER SHAFFER RD Drive with caution., Old Airport Rd,Johnstown,Cambria,PA,15904-7110,US/Eastern,KJST,2021-10-25 21:54:00,57.0,57.0,74.0,27.34,10.0,S,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6023750,Source1,2,2021-09-16 13:34:00,2021-09-16 14:52:09,32.72405505164755,-117.15484499875473,32.72424505164755,-117.1527649987547,0.122,Incident on I-5 SB near CA-94 Expect delays.,I-5,San Diego,San Diego,CA,92101,US/Pacific,KSAN,2021-09-16 13:51:00,74.0,74.0,57.0,29.87,9.0,WNW,10.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,Day,Day,Day,Day
A-731713,Source2,2,2022-01-27 07:13:41,2022-01-27 08:44:55,30.315102000000003,-81.769623,,,0.0,Left hand shoulder blocked due to accident on I-10 Eastbound at I-295 Exit 21A.,FL-8 E,Jacksonville,Duval,FL,32254,US/Eastern,KNIP,2022-01-27 06:53:00,53.0,53.0,89.0,30.18,10.0,NNE,17.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-4615518,Source1,2,2022-09-30 16:26:00,2022-09-30 17:44:53,47.784702,-122.196865,47.769508,-122.18981200000002,1.1,Incident on I-405 SB near I-405 Right lane blocked. Expect delays.,I-405 S,Bothell,Snohomish,WA,98021,US/Pacific,KPAE,2022-09-30 16:53:00,66.0,66.0,60.0,29.47,10.0,NNW,8.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1589759,Source2,2,2020-01-13 08:00:41,2020-01-13 09:15:08,38.8395,-104.700996,,,0.0,One lane blocked due to accident on US-24 Platte Ave Northbound at Peterson Rd.,E US Highway 24,Colorado Springs,El Paso,CO,80915,US/Mountain,KCOS,2020-01-13 07:54:00,29.0,22.0,38.0,23.71,10.0,E,7.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6871810,Source1,2,2020-09-18 20:07:00,2020-09-18 22:13:10,40.744181,-74.213794,40.753301,-74.210844,0.649,Incident on GARDEN STATE PKWY NB near COUNTY HWY-510 Right lane blocked. Expect delays.,Garden State Pkwy N,Newark,Essex,NJ,07106,US/Eastern,KEWR,2020-09-18 19:51:00,67.0,67.0,40.0,30.02,10.0,N,17.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-4592800,Source1,2,2022-08-08 14:54:00,2022-08-08 17:00:34,37.701576,-121.906725,37.701426,-121.893493,0.723,Accident on I-580 E from I-680 (I-580) to Hacienda Dr (I-580).,I-580,Pleasanton,Alameda,CA,94588,US/Pacific,KLVK,2022-08-08 14:53:00,82.0,82.0,35.0,29.53,10.0,WNW,16.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4852961,Source1,2,2022-12-22 16:12:00,2022-12-22 16:37:00,32.240833,-110.858002,32.23594,-110.858032,0.338,Stationary traffic on N Wilmot Rd from E Pima St to E Speedway Blvd due to accident., N Wilmot Rd,Tucson,Pima,AZ,85712,US/Mountain,KDMA,2022-12-22 15:55:00,65.0,65.0,18.0,27.22,10.0,WNW,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,True,False,False,Day,Day,Day,Day
A-5798488,Source1,2,2021-09-24 11:32:14.000000000,2021-09-24 13:32:14.000000000,45.844212,-95.387881,45.845277,-95.387878,0.074,Incident on MN-29 near I-94 Drive with caution.,I-94 W,Alexandria,Douglas,MN,56308,US/Central,KAXN,2021-09-24 11:53:00,60.0,60.0,51.0,28.46,10.0,NW,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2990337,Source2,3,2018-02-05 07:52:05,2018-02-05 08:36:52,35.752972,-78.648949,,,0.0,Accident on I-40 Westbound at Exits 298A 298B US-70 Saunders St.,I-40 W,Raleigh,Wake,NC,27603,US/Eastern,KRDU,2018-02-05 07:51:00,34.0,31.0,100.0,30.07,1.0,WSW,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-929073,Source2,3,2021-08-23 19:45:23,2021-08-23 21:03:23,42.720535,-84.504204,,,0.0,Left lane blocked due to accident on I-496 Northbound at I-496 Exits 8.,I-496 W,Lansing,Ingham,MI,48910,US/Eastern,KLAN,2021-08-23 19:53:00,81.0,81.0,60.0,29.02,10.0,W,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-61837,Source2,3,2017-01-11 02:51:29,2017-01-11 03:20:28,34.181503,-117.436729,,,0.01,Accident on I-15 Northbound at Exit 119 Sierra Ave.,I-15 N,Fontana,San Bernardino,CA,92336,US/Pacific,KONT,2017-01-11 02:53:00,53.1,,100.0,30.02,8.0,South,8.1,0.06,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3292691,Source2,3,2017-09-07 18:54:34,2017-09-07 19:24:06,38.771275,-90.279976,,,0.0,Right hand shoulder blocked due to accident on I-270 Westbound after Exit 29 Florissant Ave.,I-270 W,Florissant,St. Louis County,MO,63033,US/Central,KSTL,2017-09-07 18:51:00,72.0,,41.0,30.07,10.0,NW,4.6,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6684345,Source1,2,2020-12-28 20:52:00,2020-12-28 22:37:50,37.211351,-122.156827,37.21161,-122.156673,0.02,Incident on CA-236 near CA-9 Drive with caution., Big Basin Way,Boulder Creek,Santa Cruz,CA,95006,US/Pacific,KSJC,2020-12-28 20:53:00,47.0,47.0,77.0,29.94,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,True,False,False,Night,Night,Night,Night
A-3976227,Source1,2,2021-12-31 08:47:00.000000000,2021-12-31 09:12:30.000000000,47.61220335937685,-117.51844525281182,47.59755335937685,-117.55439525281182,1.957,Stationary traffic on I-90 W - US-395 S from Grove Rd/Exit 276 (I-90) to WA-902/Exit 272 (I-90) due to accident.,I-90 W,Spokane,Spokane,WA,99224,US/Pacific,KGEG,2021-12-31 08:42:00,9.0,1.0,80.0,27.33,6.0,NNW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6055890,Source1,2,2021-12-15 15:45:51,2021-12-15 17:48:24,28.392874,-81.37246999999998,28.392687,-81.375676,0.195,Slow traffic from Landstar Blvd (Wetherbee Rd) to Balcombe Rd (W Wetherbee Rd) due to accident.,E Wetherbee Rd,Orlando,Orange,FL,32824,US/Eastern,KMCO,2021-12-15 15:53:00,77.0,77.0,74.0,30.08,10.0,NE,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4039127,Source1,2,2022-12-27 20:18:00,2022-12-27 22:06:58,35.352685,-118.973717,35.352543,-118.977622,0.22,Incident on CA-58 WB near WASHINGTON ST Drive with caution.,Bakersfield Tehachapi Hwy,Bakersfield,Kern,CA,93307,US/Pacific,KBFL,2022-12-27 19:54:00,50.0,50.0,96.0,29.41,1.0,SSE,12.0,0.1,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2032956,Source2,2,2019-06-04 13:07:03,2019-06-04 14:22:11,35.60915,-97.496002,,,0.0,Accident on Memorial Rd at Kelley Ave.,N Kelly Ave,Oklahoma City,Oklahoma,OK,73131,US/Central,KPWA,2019-06-04 12:53:00,79.0,79.0,64.0,28.57,10.0,SSW,18.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,Day,Day,Day,Day
A-7088505,Source1,4,2020-06-15 17:25:58,2020-06-15 17:40:58,41.2433,-73.10937,41.23779,-73.15928000000002,2.6210000000000004,At CT-8/Exit 52 - Accident. Right lane blocked.,CT-15 S,Stratford,Fairfield,CT,06614,US/Eastern,KBDR,2020-06-15 17:52:00,68.0,68.0,65.0,30.35,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3879628,Source1,2,2022-01-23 13:44:30,2022-01-23 14:11:30,42.49326109865906,-83.30043196638442,42.48706109865906,-83.27800196638442,1.22,Stationary traffic on I-696 E - Walter P Reuther Fwy from Orchard Lake Rd/Exit 5 (I-696) to MI-10/Exit 8 (I-696) due to accident.,I-696 E,Southfield,Oakland,MI,48034,US/Eastern,KVLL,2022-01-23 13:35:00,22.0,12.0,60.0,29.07,10.0,NNW,9.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4818676,Source1,2,2023-02-02 17:04:25,2023-02-02 19:10:01,39.725568,-105.062654,39.725616,-105.058138,0.24,Between CO 121; Wadsworth Boulevard and CO 95 (Lakewood) at Mile Point 282. Crash expect delays.,US-6 E,Denver,Jefferson,CO,80214,US/Mountain,KBJC,2023-02-02 16:45:00,41.0,34.0,45.0,24.59,10.0,NW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5217504,Source1,2,2022-05-19 07:42:35,2022-05-19 09:56:46,36.090675,-95.886616,36.089935,-95.885253,0.092,Slow traffic from E 50th St to S 83rd East Ave due to accident., S Memorial Dr,Tulsa,Tulsa,OK,74145-6916,US/Central,KRVS,2022-05-19 07:53:00,73.0,73.0,84.0,28.98,10.0,SW,6.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3849139,Source1,2,2023-01-04 09:12:00.000000000,2023-01-04 11:00:00.000000000,33.601628000000005,-84.488506,33.603454,-84.486553,0.1689999999999999,Crash on I-85 Northbound before I-285 NB only-Fulton Co . 1 lane(s) (of 5) blocked.,GA-403 N,Atlanta,Fulton,GA,30349,US/Eastern,KATL,2023-01-04 08:52:00,63.0,63.0,90.0,28.81,6.0,SSE,9.0,0.13,Rain,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7770933,Source1,2,2019-08-09 08:32:00,2019-08-09 09:30:00,40.92093,-111.87898,40.920622,-111.87898,0.021,At W 1600 N/W 16th N/Pages Ln - Accident., N Main St,Centerville,Davis,UT,84014-1819,US/Mountain,KSLC,2019-08-09 08:54:00,68.0,68.0,63.0,25.76,10.0,SSE,7.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2944694,Source2,2,2018-03-14 20:26:53,2018-03-14 21:30:00,34.758083,-82.270821,,,0.4699999988079071,Accident on SC-417 Main St between Springdale Dr and Douglas Dr.,NE Main St,Simpsonville,Greenville,SC,29681-6015,US/Eastern,KGYH,2018-03-14 20:47:00,44.6,39.2,21.0,30.01,10.0,West,10.4,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-1524752,Source3,2,2020-03-11 07:55:14,2020-03-11 08:39:47,34.037319000000004,-118.03846,,,0.0,#1 and #2 lane blocked and left hand shoulder blocked due to accident on CA-60 Eastbound near Peck Rd.,CA-60 E,South El Monte,Los Angeles,CA,91733,US/Pacific,KEMT,2020-03-11 07:53:00,62.0,62.0,80.0,29.93,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4007133,Source1,2,2023-01-13 01:03:38.000000,2023-01-13 02:18:39.000000,38.840438,-77.08515200000002,38.839013,-77.086826,0.133,Incident on I-395 SB near MM 6 Drive with caution.,Henry Shirley Memorial Hwy,Arlington,Arlington,VA,22206,US/Eastern,KDCA,2023-01-13 01:08:00,54.0,54.0,93.0,29.61,10.0,SSW,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2268881,Source2,3,2019-02-06 06:59:36,2019-02-06 07:29:06,35.083138,-106.532455,,,0.0,Right lane blocked due to accident on I-40 Eastbound at Exit 165 Eubank Blvd.,Eubank Blvd NE,Albuquerque,Bernalillo,NM,87123,US/Mountain,KABQ,2019-02-06 06:52:00,35.1,27.9,67.0,29.69,10.0,South,9.2,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-7016004,Source1,4,2020-05-08 07:45:17,2020-05-08 08:20:15,41.10603,-81.09868,41.10604,-81.09854,0.0069999999999999,Closed at OH-14/Exit 43 - Road closed due to accident., Alliance Rd,Ravenna,Portage,OH,44266-9256,US/Eastern,KPOV,2020-05-08 07:55:00,39.0,31.0,65.0,28.53,10.0,ENE,14.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4818223,Source1,2,2022-04-06 11:39:30,2022-04-06 13:45:50,35.756044,-78.71710300000002,35.760837,-78.732555,0.928,Stationary traffic on I-40 W - US-64 W from exit [295] to exit [293B] due to accident.,I-40 W,Raleigh,Wake,NC,27606,US/Eastern,KRDU,2022-04-06 11:51:00,72.0,72.0,57.0,29.37,10.0,W,12.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4066841,Source1,2,2022-05-01 22:46:00.000000000,2022-05-02 00:03:41.000000000,33.77316355689157,-117.48527169171578,33.75271355689157,-117.45620169171578,2.187,Incident on I-15 SB near INDIAN TRUCK TRL Drive with caution.,I-15,Corona,Riverside,CA,92883,US/Pacific,KAJO,2022-05-01 22:56:00,58.0,58.0,84.0,29.36,10.0,W,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2395001,Source2,2,2018-12-13 12:39:35,2018-12-13 14:15:15,26.10705,-80.169899,,,0.0,Accident on FL-736 Davie Blvd at 21st Ave.,SW 21st Ave,Fort Lauderdale,Broward,FL,33312-3118,US/Eastern,KFLL,2018-12-13 12:53:00,75.0,,73.0,30.12,10.0,ESE,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-974241,Source2,2,2021-07-09 10:49:25,2021-07-09 12:21:00,33.868843,-117.707039,,,0.0,Right hand shoulder blocked due to accident on CA-91 Eastbound after Gypsum Canyon Rd.,CA-91 E,Anaheim,Orange,CA,92808,US/Pacific,KAJO,2021-07-09 10:56:00,87.0,87.0,48.0,29.36,10.0,W,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2021244,Source2,3,2019-08-13 16:55:24,2019-08-13 18:27:26,45.382961,-122.752014,,,0.0,Queueing traffic due to accident on I-5 Southbound around Exit 289 Nyberg Rd.,I-5 N,Tualatin,Washington,OR,97062,US/Pacific,KUAO,2019-08-13 16:53:00,90.0,90.0,26.0,29.84,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6979234,Source1,2,2020-05-25 17:35:11,2020-05-25 17:50:11,40.24717,-75.24343,40.24717,-75.24343,0.0,At PA-309/Bethlehem Pike/Doylestown Rd - Accident., Horsham Rd,Lansdale,Montgomery,PA,19446-6488,US/Eastern,KLOM,2020-05-25 17:35:00,74.0,74.0,65.0,29.83,10.0,E,6.0,0.0,Fair,False,False,False,True,False,False,False,False,False,False,False,True,Day,Day,Day,Day
A-5700917,Source1,2,2021-05-05 06:18:00,2021-05-05 19:17:35,35.012229999999995,-81.960095,35.012617,-81.957915,0.126,Stationary traffic on SC-9 from SC-9 exit [75] to I-85 N due to accident.,I-85 N,Spartanburg,Spartanburg,SC,29303,US/Eastern,KSPA,2021-05-05 06:15:00,61.0,61.0,94.0,28.98,10.0,SW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-2736947,Source2,2,2018-06-01 12:18:05,2018-06-01 12:47:32,35.478844,-97.63665,,,0.0,Accident on 10th St at Rockwell Ave.,N Rockwell Ave,Oklahoma City,Oklahoma,OK,73127,US/Central,KPWA,2018-06-01 11:53:00,90.0,,59.0,29.78,10.0,South,16.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
